TMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
TMS-00020,ENG,COR-CNB-DDU,MZP,719.11,USFD_FLAW,USFD detected internal flaw,5,3,2026-09-05,2026-09-08,0,130,True,6,88,PENDING
TMS-00021,ENG,COR-BSL-NGP,WR,291.24,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-08-24,2026-08-27,9,228,True,8,84,COMPLETED
TMS-00022,ENG,COR-NDLS-CNB,TDL,206.82,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-29,2026-09-13,0,266,True,12,95,PENDING
TMS-00023,ENG,COR-BRC-ST,BH,69.57,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-22,2026-09-06,0,362,True,14,78,PENDING
TMS-00024,ENG,COR-NDLS-CNB,ALJN,128.51,POINTS_CROSSING_WEAR,Points & crossing wear,2,5,2026-08-23,2026-09-07,0,257,True,6,95,PENDING
TMS-00025,ENG,COR-SBC-JTJ,JTJ,146.63,USFD_FLAW,USFD detected internal flaw,5,2,2026-08-12,2026-08-15,21,134,True,6,65,PENDING
TMS-00026,ENG,COR-BSL-NGP,BD,210.95,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,2,2026-08-28,2026-09-12,0,227,True,12,84,PENDING
TMS-00027,ENG,COR-HWH-ASN,ASN,199.32,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-08-21,2026-08-28,8,149,True,8,92,COMPLETED
TMS-00028,ENG,COR-HWH-ASN,BWN,105.75,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-24,2026-09-08,0,179,True,6,92,PENDING
TMS-00029,ENG,COR-SBC-JTJ,JTJ,147.89,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-09-01,2026-09-08,0,209,True,10,65,PENDING
TMS-00030,ENG,COR-SBC-JTJ,SBC,1.51,GAUGE_WIDENING,Gauge widening beyond limit,4,1,2026-09-01,2026-09-08,0,200,True,10,65,PENDING
TMS-00031,ENG,COR-HWH-ASN,DGR,159.15,LWR_DESTRESSING,LWR de-stressing,3,5,2026-08-19,2026-09-03,2,452,True,14,92,PENDING
TMS-00032,ENG,COR-NDLS-CNB,ALJN,130.4,GAUGE_WIDENING,Gauge widening beyond limit,5,5,2026-08-21,2026-08-28,8,191,True,10,95,IN_PROGRESS
TMS-00033,ENG,COR-CNB-DDU,CNB,441.36,POINTS_CROSSING_WEAR,Points & crossing wear,3,4,2026-09-04,2026-09-19,0,228,True,6,88,PENDING
TMS-00034,ENG,COR-BRC-ST,ANND,34.99,POINTS_CROSSING_WEAR,Points & crossing wear,3,2,2026-09-02,2026-09-17,0,199,True,6,78,PENDING
TMS-00035,ENG,COR-HWH-ASN,ASN,199.81,USFD_FLAW,USFD detected internal flaw,5,5,2026-08-09,2026-08-12,24,112,True,6,92,PENDING
TMS-00036,ENG,COR-SBC-JTJ,JTJ,148.23,RAIL_FRACTURE,Rail fracture / weld failure,5,1,2026-09-04,2026-09-07,0,221,True,8,65,PENDING
TMS-00037,ENG,COR-CNB-DDU,FTP,515.14,BRIDGE_APPROACH,Bridge approach track attention,3,5,2026-08-30,2026-09-06,0,178,True,10,88,IN_PROGRESS
TMS-00038,ENG,COR-BSL-NGP,BSL,1.66,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-02,2026-08-09,27,209,True,10,84,PENDING
TMS-00039,ENG,COR-NDLS-CNB,ALJN,129.56,LWR_DESTRESSING,LWR de-stressing,3,3,2026-09-02,2026-09-17,0,367,True,14,95,PENDING
TMS-00040,ENG,COR-BSL-NGP,AK,128.3,GAUGE_WIDENING,Gauge widening beyond limit,5,4,2026-08-26,2026-09-02,3,163,True,10,84,PENDING
TMS-00041,ENG,COR-HWH-ASN,HWH,-1.52,USFD_FLAW,USFD detected internal flaw,5,4,2026-09-02,2026-09-05,0,168,True,6,92,PENDING
TMS-00042,ENG,COR-BSL-NGP,WR,291.51,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-31,2026-09-15,0,271,True,6,84,PENDING
TMS-00043,ENG,COR-SBC-JTJ,JTJ,147.11,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,1,2026-08-31,2026-09-07,0,178,True,8,65,COMPLETED
TMS-00044,ENG,COR-SBC-JTJ,SBC,-0.46,GAUGE_WIDENING,Gauge widening beyond limit,4,2,2026-08-22,2026-08-29,7,137,True,10,65,PENDING
TMS-00045,ENG,COR-HWH-ASN,DGR,159.55,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-09-04,2026-09-07,0,226,True,8,92,COMPLETED
TMS-00046,ENG,COR-NDLS-CNB,TDL,205.94,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,5,3,2026-08-30,2026-09-06,0,231,True,8,95,PENDING
TMS-00047,ENG,COR-BRC-ST,ST,128.46,USFD_FLAW,USFD detected internal flaw,5,2,2026-08-26,2026-08-29,7,154,True,6,78,PENDING
TMS-00048,ENG,COR-SBC-JTJ,KPN,109.53,GAUGE_WIDENING,Gauge widening beyond limit,4,1,2026-08-06,2026-08-13,23,164,True,10,65,PENDING
TMS-00049,ENG,COR-BSL-NGP,AK,130.55,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-09-05,2026-09-12,0,223,True,8,84,PENDING
TMS-00050,ENG,COR-CNB-DDU,MZP,720.47,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-08-13,2026-08-20,16,193,True,10,88,PENDING
TMS-00051,ENG,COR-BSL-NGP,BD,208.41,LWR_DESTRESSING,LWR de-stressing,3,2,2026-09-05,2026-09-20,0,307,True,14,84,PENDING
TMS-00052,ENG,COR-BSL-NGP,NGP,360.83,USFD_FLAW,USFD detected internal flaw,5,2,2026-09-05,2026-09-08,0,157,True,6,84,PENDING
TMS-00053,ENG,COR-NDLS-CNB,NDLS,-0.27,BRIDGE_APPROACH,Bridge approach track attention,4,5,2026-09-01,2026-09-08,0,169,True,10,95,PENDING
TMS-00054,ENG,COR-BSL-NGP,AK,129.95,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-26,2026-09-10,0,225,True,6,84,IN_PROGRESS
TMS-00055,ENG,COR-HWH-ASN,HWH,-0.22,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-09-04,2026-09-19,0,259,True,12,92,PENDING
TMS-00056,ENG,COR-SBC-JTJ,JTJ,147.01,POINTS_CROSSING_WEAR,Points & crossing wear,2,1,2026-08-28,2026-09-12,0,263,True,6,65,PENDING
TMS-00057,ENG,COR-CNB-DDU,FTP,516.59,POINTS_CROSSING_WEAR,Points & crossing wear,3,4,2026-09-02,2026-09-17,0,246,True,6,88,PENDING
TMS-00058,ENG,COR-NDLS-CNB,TDL,206.32,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,5,3,2026-08-19,2026-08-26,10,209,True,8,95,IN_PROGRESS
TMS-00059,ENG,COR-CNB-DDU,DDU,799.31,USFD_FLAW,USFD detected internal flaw,5,4,2026-08-31,2026-09-03,2,156,True,6,88,PENDING
TMS-00060,ENG,COR-BSL-NGP,NGP,360.0,GAUGE_WIDENING,Gauge widening beyond limit,5,3,2026-08-23,2026-08-30,6,209,True,10,84,PENDING
TMS-00061,ENG,COR-BRC-ST,BH,70.47,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,2,2026-07-28,2026-08-12,24,266,True,12,78,PENDING
TMS-00062,ENG,COR-BSL-NGP,AK,131.81,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,3,4,2026-08-11,2026-08-18,18,225,True,8,84,PENDING
TMS-00063,ENG,COR-NDLS-CNB,CNB,438.87,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-09-03,2026-09-18,0,322,True,12,95,PENDING
TMS-00064,ENG,COR-SBC-JTJ,SBC,1.58,BRIDGE_APPROACH,Bridge approach track attention,4,1,2026-08-24,2026-08-31,5,188,True,10,65,PENDING
TMS-00065,ENG,COR-BRC-ST,ST,131.83,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-17,2026-09-01,4,321,True,14,78,PENDING
TMS-00066,ENG,COR-CNB-DDU,DDU,800.43,USFD_FLAW,USFD detected internal flaw,5,3,2026-09-04,2026-09-07,0,168,True,6,88,PENDING
TMS-00067,ENG,COR-HWH-ASN,BWN,107.7,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,5,2026-08-08,2026-08-15,21,212,True,8,92,PENDING
TMS-00068,ENG,COR-CNB-DDU,FTP,518.81,POINTS_CROSSING_WEAR,Points & crossing wear,3,5,2026-08-23,2026-09-07,0,216,True,6,88,IN_PROGRESS
TMS-00069,ENG,COR-NDLS-CNB,NDLS,0.78,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-09-02,2026-09-05,0,299,True,8,95,COMPLETED
TMS-00070,ENG,COR-SBC-JTJ,JTJ,149.31,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,3,2,2026-08-21,2026-08-28,8,221,True,8,65,PENDING
TMS-00071,ENG,COR-BRC-ST,ANND,33.6,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-08-26,2026-08-29,7,215,True,8,78,PENDING
TMS-00072,ENG,COR-BSL-NGP,AK,130.46,POINTS_CROSSING_WEAR,Points & crossing wear,3,2,2026-08-21,2026-09-05,0,266,True,6,84,PENDING
TMS-00073,ENG,COR-CNB-DDU,CNB,440.2,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-20,2026-09-04,1,335,True,14,88,IN_PROGRESS
TMS-00074,ENG,COR-BRC-ST,BH,68.51,USFD_FLAW,USFD detected internal flaw,5,3,2026-09-04,2026-09-07,0,168,True,6,78,PENDING
TMS-00075,ENG,COR-SBC-JTJ,BWT,64.28,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-09,2026-08-16,20,203,True,10,65,PENDING
TMS-00076,ENG,COR-CNB-DDU,ALD,634.97,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-08-28,2026-09-04,1,216,True,8,88,IN_PROGRESS
TMS-00077,ENG,COR-BSL-NGP,WR,291.51,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-19,2026-09-03,2,262,True,6,84,COMPLETED
TMS-00078,ENG,COR-HWH-ASN,HWH,0.4,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-09-02,2026-09-09,0,202,True,8,92,PENDING
TMS-00079,ENG,COR-CNB-DDU,MZP,718.47,BRIDGE_APPROACH,Bridge approach track attention,5,5,2026-07-27,2026-08-03,33,169,True,10,88,PENDING
TMS-00080,ENG,COR-BSL-NGP,BSL,0.82,LWR_DESTRESSING,LWR de-stressing,3,2,2026-08-27,2026-09-11,0,213,True,14,84,PENDING
TMS-00081,ENG,COR-BSL-NGP,BD,210.13,BRIDGE_APPROACH,Bridge approach track attention,5,2,2026-09-03,2026-09-10,0,231,True,10,84,PENDING
TMS-00082,ENG,COR-CNB-DDU,FTP,517.88,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,4,2026-08-22,2026-09-06,0,263,True,12,88,PENDING
TMS-00083,ENG,COR-SBC-JTJ,SBC,0.05,USFD_FLAW,USFD detected internal flaw,5,3,2026-08-29,2026-09-01,4,163,True,6,65,IN_PROGRESS
TMS-00084,ENG,COR-NDLS-CNB,ETW,309.59,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-26,2026-09-10,0,313,True,12,95,PENDING
TMS-00085,ENG,COR-BSL-NGP,BD,210.93,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-07-22,2026-07-29,38,199,True,8,84,IN_PROGRESS
TMS-00086,ENG,COR-SBC-JTJ,BNC,3.19,USFD_FLAW,USFD detected internal flaw,5,1,2026-08-17,2026-08-20,16,131,True,6,65,COMPLETED
TMS-00087,ENG,COR-BSL-NGP,AK,130.95,LWR_DESTRESSING,LWR de-stressing,4,3,2026-09-02,2026-09-17,0,298,True,14,84,IN_PROGRESS
TMS-00088,ENG,COR-CNB-DDU,MZP,721.06,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-29,2026-09-13,0,378,True,14,88,PENDING
TMS-00089,ENG,COR-BRC-ST,BRC,1.85,POINTS_CROSSING_WEAR,Points & crossing wear,3,2,2026-08-10,2026-08-25,11,270,True,6,78,PENDING
TMS-00090,ENG,COR-CNB-DDU,MZP,721.57,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-05,2026-08-12,24,198,True,8,88,PENDING
TMS-00091,ENG,COR-NDLS-CNB,CNB,439.36,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-31,2026-09-15,0,366,True,12,95,PENDING
TMS-00092,ENG,COR-SBC-JTJ,JTJ,148.44,BRIDGE_APPROACH,Bridge approach track attention,3,2,2026-08-27,2026-09-03,2,193,True,10,65,PENDING
TMS-00093,ENG,COR-NDLS-CNB,GZB,22.18,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-08-05,2026-08-12,24,168,True,10,95,PENDING
TMS-00094,ENG,COR-NDLS-CNB,GZB,25.2,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-08-23,2026-08-26,10,214,True,8,95,PENDING
TMS-00095,ENG,COR-BSL-NGP,NGP,360.14,GAUGE_WIDENING,Gauge widening beyond limit,5,4,2026-08-21,2026-08-28,8,185,True,10,84,PENDING
TMS-00096,ENG,COR-CNB-DDU,MZP,720.33,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,5,2026-08-07,2026-08-22,14,293,True,12,88,PENDING
TMS-00097,ENG,COR-BRC-ST,BRC,-1.84,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-09-04,2026-09-19,0,249,True,12,78,PENDING
TMS-00098,ENG,COR-BRC-ST,BH,71.35,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-24,2026-09-08,0,444,True,14,78,PENDING
TMS-00099,ENG,COR-NDLS-CNB,CNB,439.9,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-13,2026-08-20,16,226,True,10,95,PENDING
TMS-00100,ENG,COR-HWH-ASN,HWH,1.05,LWR_DESTRESSING,LWR de-stressing,3,4,2026-08-31,2026-09-15,0,535,True,14,92,PENDING
TMS-00101,ENG,COR-NDLS-CNB,GZB,23.91,LWR_DESTRESSING,LWR de-stressing,3,4,2026-07-22,2026-08-06,30,399,True,14,95,PENDING
TMS-00102,ENG,COR-HWH-ASN,DGR,159.06,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-09-03,2026-09-10,0,224,True,10,92,IN_PROGRESS
TMS-00103,ENG,COR-CNB-DDU,CNB,438.93,USFD_FLAW,USFD detected internal flaw,5,5,2026-09-03,2026-09-06,0,172,True,6,88,PENDING
TMS-00104,ENG,COR-CNB-DDU,DDU,801.29,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-08-21,2026-08-24,12,149,True,8,88,IN_PROGRESS
TMS-00105,ENG,COR-NDLS-CNB,ALJN,128.52,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-16,2026-08-23,13,162,True,10,95,PENDING
TMS-00106,ENG,COR-SBC-JTJ,BNC,5.78,USFD_FLAW,USFD detected internal flaw,5,3,2026-09-02,2026-09-05,0,135,True,6,65,PENDING
TMS-00107,ENG,COR-NDLS-CNB,NDLS,-1.14,POINTS_CROSSING_WEAR,Points & crossing wear,4,4,2026-09-02,2026-09-17,0,226,True,6,95,PENDING
TMS-00108,ENG,COR-BRC-ST,ST,128.06,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-14,2026-08-21,15,155,True,10,78,PENDING
TMS-00109,ENG,COR-NDLS-CNB,ETW,309.74,USFD_FLAW,USFD detected internal flaw,5,4,2026-09-03,2026-09-06,0,144,True,6,95,PENDING
TMS-00110,ENG,COR-NDLS-CNB,GZB,22.24,LWR_DESTRESSING,LWR de-stressing,2,5,2026-09-02,2026-09-17,0,354,True,14,95,PENDING
TMS-00111,ENG,COR-NDLS-CNB,GZB,25.56,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-07-23,2026-08-07,29,355,True,12,95,PENDING
TMS-00112,ENG,COR-NDLS-CNB,TDL,203.2,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-09-05,2026-09-12,0,193,True,10,95,IN_PROGRESS
TMS-00113,ENG,COR-CNB-DDU,FTP,516.57,RAIL_FRACTURE,Rail fracture / weld failure,5,5,2026-08-01,2026-08-04,32,255,True,8,88,IN_PROGRESS
TMS-00114,ENG,COR-SBC-JTJ,KPN,108.62,USFD_FLAW,USFD detected internal flaw,5,1,2026-08-27,2026-08-30,6,132,True,6,65,COMPLETED
TMS-00115,ENG,COR-CNB-DDU,FTP,515.14,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-05,2026-08-20,16,321,True,12,88,PENDING
TMS-00116,ENG,COR-HWH-ASN,DGR,156.83,GAUGE_WIDENING,Gauge widening beyond limit,3,4,2026-09-01,2026-09-08,0,200,True,10,92,PENDING
TMS-00117,ENG,COR-BRC-ST,ANND,36.89,USFD_FLAW,USFD detected internal flaw,5,2,2026-08-23,2026-08-26,10,146,True,6,78,PENDING
TMS-00118,ENG,COR-HWH-ASN,DGR,157.52,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,3,3,2026-08-12,2026-08-19,17,255,True,8,92,PENDING
TMS-00119,ENG,COR-SBC-JTJ,BNC,2.21,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-17,2026-09-01,4,280,True,12,65,PENDING
TMS-00120,ENG,COR-CNB-DDU,CNB,440.82,POINTS_CROSSING_WEAR,Points & crossing wear,3,5,2026-08-28,2026-09-12,0,267,True,6,88,PENDING
TMS-00121,ENG,COR-BRC-ST,ST,130.51,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,4,2026-08-22,2026-09-06,0,354,True,12,78,PENDING
TMS-00122,ENG,COR-CNB-DDU,CNB,440.93,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-08-29,2026-09-01,4,245,True,8,88,PENDING
TMS-00123,ENG,COR-BRC-ST,ST,129.15,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-23,2026-09-07,0,301,True,6,78,PENDING
TMS-00124,ENG,COR-BSL-NGP,BSL,0.95,BRIDGE_APPROACH,Bridge approach track attention,4,4,2026-09-05,2026-09-12,0,264,True,10,84,IN_PROGRESS
TMS-00125,ENG,COR-HWH-ASN,ASN,200.05,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-08-31,2026-09-03,2,252,True,8,92,PENDING
TMS-00126,ENG,COR-BRC-ST,ST,129.97,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-08-20,2026-08-27,9,191,True,10,78,PENDING
TMS-00127,ENG,COR-BRC-ST,ST,129.71,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-08-29,2026-09-13,0,251,True,6,78,PENDING
TMS-00128,ENG,COR-CNB-DDU,MZP,718.44,USFD_FLAW,USFD detected internal flaw,5,5,2026-08-13,2026-08-16,20,168,True,6,88,PENDING
TMS-00129,ENG,COR-NDLS-CNB,GZB,23.38,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-09-02,2026-09-09,0,223,True,8,95,PENDING
TMS-00130,ENG,COR-BRC-ST,BRC,-1.11,RAIL_FRACTURE,Rail fracture / weld failure,4,4,2026-08-03,2026-08-06,30,214,True,8,78,PENDING
TMS-00131,ENG,COR-BSL-NGP,BSL,-0.02,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-08-22,2026-08-29,7,178,True,8,84,COMPLETED
TMS-00132,ENG,COR-CNB-DDU,FTP,516.94,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-16,2026-08-23,13,208,True,10,88,PENDING
TMS-00133,ENG,COR-HWH-ASN,DGR,158.24,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-28,2026-09-04,1,187,True,10,92,PENDING
TMS-00134,ENG,COR-BSL-NGP,WR,288.83,BRIDGE_APPROACH,Bridge approach track attention,4,2,2026-08-12,2026-08-19,17,165,True,10,84,PENDING
TMS-00135,ENG,COR-BSL-NGP,WR,290.34,GAUGE_WIDENING,Gauge widening beyond limit,4,2,2026-08-01,2026-08-08,28,142,True,10,84,PENDING
TMS-00136,ENG,COR-SBC-JTJ,SBC,-0.94,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,3,2026-08-30,2026-09-14,0,279,True,12,65,PENDING
TMS-00137,ENG,COR-SBC-JTJ,BNC,3.27,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,1,2026-08-12,2026-08-27,9,410,True,12,65,COMPLETED
TMS-00138,ENG,COR-SBC-JTJ,SBC,0.32,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-08-15,2026-08-22,14,253,True,10,65,PENDING
TMS-00139,ENG,COR-BRC-ST,BH,70.22,BALLAST_DEFICIENCY,Ballast deficiency / packing,4,3,2026-08-19,2026-09-03,2,345,True,12,78,PENDING
TMS-00140,ENG,COR-BRC-ST,BH,71.69,USFD_FLAW,USFD detected internal flaw,5,3,2026-08-04,2026-08-07,29,176,True,6,78,PENDING
TMS-00141,ENG,COR-NDLS-CNB,TDL,206.39,LWR_DESTRESSING,LWR de-stressing,4,5,2026-08-19,2026-09-03,2,447,True,14,95,PENDING
TMS-00142,ENG,COR-BRC-ST,ST,131.19,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-15,2026-08-22,14,208,True,8,78,PENDING
TMS-00143,ENG,COR-HWH-ASN,HWH,0.86,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-09-04,2026-09-11,0,150,True,8,92,PENDING
TMS-00144,ENG,COR-NDLS-CNB,CNB,441.44,USFD_FLAW,USFD detected internal flaw,5,3,2026-08-24,2026-08-27,9,174,True,6,95,PENDING
TMS-00145,ENG,COR-NDLS-CNB,NDLS,0.31,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-26,2026-09-10,0,405,True,14,95,PENDING
TMS-00146,ENG,COR-BRC-ST,ST,128.95,POINTS_CROSSING_WEAR,Points & crossing wear,3,4,2026-08-31,2026-09-15,0,245,True,6,78,COMPLETED
TMS-00147,ENG,COR-BSL-NGP,AK,131.99,BRIDGE_APPROACH,Bridge approach track attention,5,3,2026-08-26,2026-09-02,3,137,True,10,84,PENDING
TMS-00148,ENG,COR-NDLS-CNB,TDL,204.13,BRIDGE_APPROACH,Bridge approach track attention,5,3,2026-08-29,2026-09-05,0,202,True,10,95,PENDING
TMS-00149,ENG,COR-CNB-DDU,ALD,633.25,GAUGE_WIDENING,Gauge widening beyond limit,3,5,2026-08-25,2026-09-01,4,158,True,10,88,PENDING
TMS-00150,ENG,COR-SBC-JTJ,BNC,2.71,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,2,2026-08-20,2026-08-27,9,235,True,8,65,PENDING
TMS-00151,ENG,COR-BRC-ST,BH,70.73,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,5,3,2026-09-04,2026-09-11,0,217,True,8,78,COMPLETED
TMS-00152,ENG,COR-CNB-DDU,ALD,632.3,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-10,2026-08-17,19,176,True,10,88,PENDING
TMS-00153,ENG,COR-SBC-JTJ,BWT,63.87,POINTS_CROSSING_WEAR,Points & crossing wear,3,3,2026-09-05,2026-09-20,0,244,True,6,65,COMPLETED
TMS-00154,ENG,COR-CNB-DDU,CNB,439.84,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-09-03,2026-09-06,0,293,True,8,88,PENDING
TMS-00155,ENG,COR-CNB-DDU,FTP,516.49,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-07-25,2026-08-01,35,206,True,8,88,PENDING
TMS-00156,ENG,COR-SBC-JTJ,SBC,-1.63,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,5,3,2026-08-04,2026-08-11,25,253,True,8,65,PENDING
