train_no,train_type,train_name,priority,corridor_id,service_date,scheduled_dep
64754,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,01:16
89852,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,19:29
32505,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,18:54
29109,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-06,12:44
13497,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,22:00
97562,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,13:10
31017,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-07,09:42
55485,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,19:45
20372,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,18:12
81333,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,03:08
69670,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,09:32
67154,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,09:01
45561,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,19:44
45268,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,14:58
23138,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,14:48
47693,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,02:49
93000,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,11:37
31248,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,21:03
28632,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,05:57
22100,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-07,07:23
76861,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-07,13:46
63025,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,18:49
88944,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,01:40
28460,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,15:37
11461,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,11:04
38610,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,23:22
94716,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,08:35
89472,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,17:23
63668,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,08:54
39550,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,07:25
13576,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,02:15
15728,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,22:04
20886,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,00:32
57236,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,04:37
42532,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,12:29
38688,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,02:05
33089,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,13:43
61829,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,10:46
43585,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,23:21
69004,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,00:59
12438,PASS,Passenger,4,COR-NDLS-CNB,2026-09-07,07:46
33212,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,15:35
82177,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,20:10
24026,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,09:59
60998,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,23:04
67013,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-07,07:28
95172,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,11:19
23105,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-07,02:09
85400,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-07,15:47
36515,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-07,22:58
68001,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,20:34
71415,FRT,Freight,5,COR-NDLS-CNB,2026-09-07,17:33
91838,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-07,09:36
40941,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,12:02
50955,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,10:01
66908,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,12:21
65696,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-08,09:39
24847,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,15:00
44256,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,01:27
38774,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-08,00:49
19127,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,06:07
68764,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,21:31
48664,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,22:23
42333,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,14:57
46079,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,15:08
34259,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,04:17
48230,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,06:29
66049,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,12:52
46498,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,23:30
38820,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,04:29
42795,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,23:23
95411,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,19:32
64453,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-08,04:39
60325,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,02:45
84796,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,05:38
55706,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,14:01
52817,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,18:04
65710,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,17:36
70964,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,13:22
81150,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,07:10
70438,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-08,18:43
13801,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,08:06
50144,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-08,01:28
20148,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,04:30
29861,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,14:59
32480,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,04:37
54621,FRT,Freight,5,COR-NDLS-CNB,2026-09-08,03:25
57431,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,15:12
66172,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,14:17
18149,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,14:21
33119,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,05:35
26279,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,17:41
14803,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-08,20:51
70805,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,16:17
20826,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-08,07:04
55775,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,13:25
16798,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,15:48
76103,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-08,07:53
87751,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,23:04
50888,PASS,Passenger,4,COR-NDLS-CNB,2026-09-08,03:30
59047,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,20:02
55955,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,18:01
89118,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-09,18:16
56313,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-09,05:53
25378,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,22:22
79815,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,10:24
92593,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,21:40
17312,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,12:34
96450,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-09,18:24
15432,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,17:46
88711,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,04:52
20295,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,01:08
22190,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,10:30
86325,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,09:26
82427,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,04:02
85852,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,08:46
68630,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,07:19
72771,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,20:08
17466,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,08:35
78745,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,20:53
13078,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,10:14
13543,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,11:15
61052,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-09,06:59
32064,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,04:35
90442,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,10:07
61481,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-09,01:29
82317,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,19:54
60530,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,13:30
35888,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,20:27
42352,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,14:27
31676,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-09,12:29
47463,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,05:00
73627,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,08:48
95837,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-09,04:37
61313,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,19:23
56586,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-09,09:39
84418,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-09,23:09
62620,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,10:36
15969,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,13:42
75435,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,14:34
15037,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,15:39
97914,FRT,Freight,5,COR-NDLS-CNB,2026-09-09,18:54
69090,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,05:57
75560,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-09,06:43
99552,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-09,08:28
50443,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,01:00
48384,PASS,Passenger,4,COR-NDLS-CNB,2026-09-09,02:02
34248,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,00:54
52690,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,18:26
79625,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,09:05
78008,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,01:52
53237,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,15:17
45732,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,21:46
44980,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,21:50
84990,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,16:01
19554,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,10:48
55987,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,15:37
58167,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,04:25
72723,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,06:30
32219,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,10:54
37397,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,02:55
39602,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,12:43
72150,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,20:23
33116,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,20:19
27469,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,08:50
30760,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,22:30
37262,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,03:46
21160,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,18:01
17543,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,07:56
92162,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,11:55
39607,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,06:06
13323,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,13:57
86151,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,15:05
33238,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,23:52
83967,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,05:42
54153,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,02:18
23872,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-10,06:59
44930,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,05:03
72714,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,05:42
98794,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,00:06
76704,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,02:58
86441,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,06:55
80779,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,19:04
98444,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-10,02:29
19888,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,13:58
68765,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,04:03
25935,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,21:14
90631,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-10,22:02
11320,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,15:53
87763,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-10,16:16
54838,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,18:58
10552,FRT,Freight,5,COR-NDLS-CNB,2026-09-10,00:00
58737,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,08:01
90634,PASS,Passenger,4,COR-NDLS-CNB,2026-09-10,09:59
90336,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,05:34
55638,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,19:24
11982,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,02:16
92606,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,15:49
64681,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,02:46
73474,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,15:09
39513,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,14:39
33618,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,01:04
25409,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,07:12
34154,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,22:17
54917,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-11,01:54
25701,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,09:28
62492,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,10:41
45919,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,15:40
62167,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,22:02
49113,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,13:41
42228,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,10:48
56097,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,09:19
38639,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,07:57
33510,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-11,08:07
48333,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,12:58
48418,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,05:39
69507,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,10:11
82972,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,01:13
44477,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,01:55
42326,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-11,19:47
10125,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,20:45
76735,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,10:56
42437,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,11:03
19182,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,23:18
98148,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,16:57
22920,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,23:26
12565,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,07:30
63942,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,14:05
80560,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,09:09
43799,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,01:55
44510,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,20:41
87366,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-11,06:43
63242,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-11,05:03
87911,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,12:19
79939,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,17:13
14897,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,07:13
62540,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,02:43
40030,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-11,16:35
39870,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-11,00:17
41058,PASS,Passenger,4,COR-NDLS-CNB,2026-09-11,13:30
74930,FRT,Freight,5,COR-NDLS-CNB,2026-09-11,04:07
36379,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,22:28
33674,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,03:23
41432,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,07:26
97663,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,07:12
83251,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,19:11
92990,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,13:41
34690,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,08:24
43762,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,23:59
47499,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,03:42
27341,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,11:11
83823,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-12,15:32
27015,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,01:46
25852,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,11:37
31258,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,01:05
51508,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,15:15
81728,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,03:20
19895,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,13:06
43924,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,04:22
80831,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,05:43
19136,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,23:34
87608,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-12,15:25
37431,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,00:02
77539,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,22:10
52747,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,09:19
89763,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,03:18
82994,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,01:48
79015,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,01:47
10051,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,09:11
79926,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,01:51
38491,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-12,20:12
69965,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,01:04
57361,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,07:44
76890,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,16:43
26167,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-12,03:29
98091,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,01:28
75471,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,03:57
19756,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-12,08:19
46308,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,13:10
75524,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-12,09:51
19327,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,17:54
26533,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,05:00
54488,FRT,Freight,5,COR-NDLS-CNB,2026-09-12,19:21
96348,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,08:46
30653,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,23:05
23654,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-12,20:36
79483,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-12,01:00
47682,PASS,Passenger,4,COR-NDLS-CNB,2026-09-12,18:04
77799,RAJ,Rajdhani Express,1,COR-CNB-DDU,2026-09-06,08:43
76113,MEMU,MEMU/EMU,4,COR-CNB-DDU,2026-09-06,10:23
59574,SF,Superfast Express,2,COR-CNB-DDU,2026-09-06,11:33
74934,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,11:55
93149,MEMU,MEMU/EMU,4,COR-CNB-DDU,2026-09-06,23:14
95096,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,21:49
39418,FRT,Freight,5,COR-CNB-DDU,2026-09-06,12:33
59874,MEMU,MEMU/EMU,4,COR-CNB-DDU,2026-09-06,11:27
96257,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,12:26
92627,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,11:04
59635,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,07:14
92089,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,06:23
82629,SF,Superfast Express,2,COR-CNB-DDU,2026-09-06,17:00
65618,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,14:28
23785,FRT,Freight,5,COR-CNB-DDU,2026-09-06,14:07
24694,SF,Superfast Express,2,COR-CNB-DDU,2026-09-06,20:55
79549,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,21:38
21156,SF,Superfast Express,2,COR-CNB-DDU,2026-09-06,00:31
50645,FRT,Freight,5,COR-CNB-DDU,2026-09-06,01:04
66982,FRT,Freight,5,COR-CNB-DDU,2026-09-06,00:26
22420,MEMU,MEMU/EMU,4,COR-CNB-DDU,2026-09-06,04:27
50301,SF,Superfast Express,2,COR-CNB-DDU,2026-09-06,15:15
56972,RAJ,Rajdhani Express,1,COR-CNB-DDU,2026-09-06,01:21
58225,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,16:21
32854,PASS,Passenger,4,COR-CNB-DDU,2026-09-06,09:44
80780,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,09:01
67103,FRT,Freight,5,COR-CNB-DDU,2026-09-06,03:29
99590,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,02:12
54590,RAJ,Rajdhani Express,1,COR-CNB-DDU,2026-09-06,02:36
20621,EXP,Mail/Express,3,COR-CNB-DDU,2026-09-06,14:34
