TDMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
TDMS-00065,TRD,COR-BRC-ST,BH,69.0,EARTHING,OHE earthing / bonding check,2,3,2026-07-30,2026-08-29,7,103,False,3,78,IN_PROGRESS
TDMS-00066,TRD,COR-SBC-JTJ,JTJ,146.51,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-08-29,2026-09-05,0,327,True,6,65,PENDING
TDMS-00067,TRD,COR-HWH-ASN,HWH,-1.51,NEUTRAL_SECTION,Neutral section attention,4,3,2026-08-22,2026-09-06,0,113,True,4,92,IN_PROGRESS
TDMS-00068,TRD,COR-BSL-NGP,NGP,360.75,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,2,2026-08-03,2026-08-06,30,237,True,6,84,PENDING
TDMS-00069,TRD,COR-CNB-DDU,CNB,438.69,PANTO_ENTANGLE,Pantograph entanglement damage,4,3,2026-08-17,2026-08-20,16,352,True,8,88,PENDING
TDMS-00070,TRD,COR-NDLS-CNB,ETW,309.61,NEUTRAL_SECTION,Neutral section attention,3,3,2026-08-25,2026-09-09,0,83,True,4,95,PENDING
TDMS-00071,TRD,COR-HWH-ASN,BWN,107.37,NEUTRAL_SECTION,Neutral section attention,3,5,2026-08-18,2026-09-02,3,101,True,4,92,PENDING
TDMS-00072,TRD,COR-SBC-JTJ,KPN,109.79,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,3,2026-09-04,2026-09-07,0,183,True,6,65,PENDING
TDMS-00073,TRD,COR-BSL-NGP,BSL,0.96,NEUTRAL_SECTION,Neutral section attention,3,2,2026-08-18,2026-09-02,3,110,True,4,84,PENDING
TDMS-00074,TRD,COR-BSL-NGP,WR,288.89,TSS_TRANSFORMER,Traction sub-station transformer,4,3,2026-08-17,2026-08-24,12,333,True,6,84,PENDING
TDMS-00075,TRD,COR-NDLS-CNB,NDLS,-1.31,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,3,2026-08-06,2026-08-09,27,276,True,6,95,PENDING
TDMS-00076,TRD,COR-CNB-DDU,DDU,798.33,EARTHING,OHE earthing / bonding check,2,5,2026-08-18,2026-09-17,0,124,False,3,88,PENDING
TDMS-00077,TRD,COR-BRC-ST,ANND,35.4,SP_MAINT,Sectioning post / SP maintenance,2,3,2026-09-01,2026-09-16,0,194,True,4,78,PENDING
TDMS-00078,TRD,COR-BSL-NGP,BD,208.81,NEUTRAL_SECTION,Neutral section attention,3,4,2026-09-04,2026-09-19,0,139,True,4,84,COMPLETED
TDMS-00079,TRD,COR-SBC-JTJ,BNC,2.3600000000000003,NEUTRAL_SECTION,Neutral section attention,3,2,2026-08-26,2026-09-10,0,131,True,4,65,PENDING
TDMS-00080,TRD,COR-BSL-NGP,BSL,-1.22,PANTO_ENTANGLE,Pantograph entanglement damage,5,2,2026-09-05,2026-09-08,0,296,True,8,84,PENDING
TDMS-00081,TRD,COR-BRC-ST,BH,69.72,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-09-05,2026-09-12,0,307,True,6,78,COMPLETED
TDMS-00082,TRD,COR-BRC-ST,ANND,35.1,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-25,2026-08-28,8,294,True,8,78,PENDING
TDMS-00083,TRD,COR-SBC-JTJ,KPN,110.23,SP_MAINT,Sectioning post / SP maintenance,3,2,2026-08-19,2026-09-03,2,205,True,4,65,PENDING
TDMS-00084,TRD,COR-SBC-JTJ,BWT,63.83,NEUTRAL_SECTION,Neutral section attention,3,1,2026-09-04,2026-09-19,0,130,True,4,65,PENDING
TDMS-00085,TRD,COR-NDLS-CNB,ETW,309.39,TSS_TRANSFORMER,Traction sub-station transformer,4,5,2026-08-15,2026-08-22,14,459,True,6,95,PENDING
TDMS-00086,TRD,COR-HWH-ASN,BWN,108.39,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,5,2026-08-30,2026-09-02,3,233,True,6,92,PENDING
TDMS-00087,TRD,COR-BSL-NGP,WR,290.68,NEUTRAL_SECTION,Neutral section attention,2,4,2026-08-26,2026-09-10,0,127,True,4,84,PENDING
TDMS-00088,TRD,COR-BSL-NGP,BD,209.69,EARTHING,OHE earthing / bonding check,2,2,2026-09-05,2026-10-05,0,84,False,3,84,COMPLETED
TDMS-00089,TRD,COR-BSL-NGP,AK,130.72,NEUTRAL_SECTION,Neutral section attention,3,4,2026-08-30,2026-09-14,0,139,True,4,84,PENDING
TDMS-00090,TRD,COR-BRC-ST,BRC,-0.08,TENSIONING,Auto-tensioning device attention,3,4,2026-08-31,2026-09-15,0,180,True,4,78,COMPLETED
TDMS-00091,TRD,COR-HWH-ASN,ASN,199.87,TSS_TRANSFORMER,Traction sub-station transformer,4,3,2026-09-04,2026-09-11,0,330,True,6,92,PENDING
TDMS-00092,TRD,COR-CNB-DDU,MZP,721.88,TENSIONING,Auto-tensioning device attention,3,5,2026-08-26,2026-09-10,0,154,True,4,88,PENDING
TDMS-00093,TRD,COR-BSL-NGP,AK,130.69,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,2,2026-09-03,2026-09-06,0,243,True,6,84,PENDING
TDMS-00094,TRD,COR-SBC-JTJ,JTJ,147.38,NEUTRAL_SECTION,Neutral section attention,3,2,2026-07-22,2026-08-06,30,108,True,4,65,PENDING
TDMS-00095,TRD,COR-NDLS-CNB,CNB,438.45,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,5,2026-08-21,2026-08-24,12,234,True,6,95,COMPLETED
TDMS-00096,TRD,COR-CNB-DDU,MZP,720.15,INSULATOR_FLASH,Insulator flashover / replacement,3,4,2026-09-04,2026-09-11,0,124,True,4,88,PENDING
TDMS-00097,TRD,COR-HWH-ASN,BWN,108.6,NEUTRAL_SECTION,Neutral section attention,3,3,2026-08-06,2026-08-21,15,127,True,4,92,PENDING
TDMS-00098,TRD,COR-BSL-NGP,AK,129.22,TENSIONING,Auto-tensioning device attention,4,2,2026-09-02,2026-09-17,0,154,True,4,84,PENDING
TDMS-00099,TRD,COR-SBC-JTJ,BNC,5.33,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-07-26,2026-08-02,34,294,True,6,65,PENDING
TDMS-00100,TRD,COR-HWH-ASN,ASN,201.99,TENSIONING,Auto-tensioning device attention,3,5,2026-08-22,2026-09-06,0,155,True,4,92,PENDING
TDMS-00101,TRD,COR-HWH-ASN,ASN,200.72,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,4,2026-08-31,2026-09-03,2,229,True,6,92,PENDING
TDMS-00102,TRD,COR-SBC-JTJ,KPN,110.48,SP_MAINT,Sectioning post / SP maintenance,3,2,2026-08-12,2026-08-27,9,163,True,4,65,COMPLETED
TDMS-00103,TRD,COR-HWH-ASN,DGR,159.49,NEUTRAL_SECTION,Neutral section attention,2,4,2026-08-13,2026-08-28,8,98,True,4,92,PENDING
TDMS-00104,TRD,COR-NDLS-CNB,GZB,23.03,EARTHING,OHE earthing / bonding check,3,4,2026-08-20,2026-09-19,0,110,False,3,95,PENDING
TDMS-00105,TRD,COR-BSL-NGP,BD,210.33,PANTO_ENTANGLE,Pantograph entanglement damage,5,2,2026-08-20,2026-08-23,13,286,True,8,84,PENDING
TDMS-00106,TRD,COR-SBC-JTJ,SBC,-1.7,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-08-26,2026-09-02,3,317,True,6,65,PENDING
TDMS-00107,TRD,COR-BSL-NGP,AK,130.6,EARTHING,OHE earthing / bonding check,2,2,2026-09-04,2026-10-04,0,102,False,3,84,PENDING
TDMS-00108,TRD,COR-HWH-ASN,DGR,159.37,EARTHING,OHE earthing / bonding check,2,5,2026-08-25,2026-09-24,0,77,False,3,92,PENDING
TDMS-00109,TRD,COR-NDLS-CNB,CNB,440.88,NEUTRAL_SECTION,Neutral section attention,3,5,2026-09-05,2026-09-20,0,145,True,4,95,IN_PROGRESS
TDMS-00110,TRD,COR-CNB-DDU,CNB,440.56,SP_MAINT,Sectioning post / SP maintenance,2,4,2026-08-04,2026-08-19,17,161,True,4,88,PENDING
TDMS-00111,TRD,COR-HWH-ASN,HWH,-0.37,NEUTRAL_SECTION,Neutral section attention,4,4,2026-09-03,2026-09-18,0,116,True,4,92,PENDING
TDMS-00112,TRD,COR-CNB-DDU,FTP,518.72,SP_MAINT,Sectioning post / SP maintenance,3,5,2026-08-31,2026-09-15,0,150,True,4,88,PENDING
TDMS-00113,TRD,COR-NDLS-CNB,GZB,25.5,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-08-17,2026-08-24,12,131,True,4,95,PENDING
TDMS-00114,TRD,COR-SBC-JTJ,BWT,63.48,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-08-17,2026-08-24,12,291,True,6,65,PENDING
TDMS-00115,TRD,COR-SBC-JTJ,SBC,0.79,OHE_WIRE_WEAR,OHE contact wire wear replacement,4,1,2026-08-20,2026-08-23,13,303,True,6,65,PENDING
TDMS-00116,TRD,COR-CNB-DDU,MZP,721.79,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,5,2026-09-02,2026-09-05,0,209,True,6,88,PENDING
TDMS-00117,TRD,COR-SBC-JTJ,JTJ,148.26,EARTHING,OHE earthing / bonding check,2,3,2026-08-05,2026-09-04,1,62,False,3,65,PENDING
TDMS-00118,TRD,COR-BSL-NGP,BSL,1.47,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-01,2026-08-04,32,233,True,8,84,PENDING
TDMS-00119,TRD,COR-SBC-JTJ,BWT,66.25,INSULATOR_FLASH,Insulator flashover / replacement,4,2,2026-08-07,2026-08-14,22,129,True,4,65,PENDING
TDMS-00120,TRD,COR-NDLS-CNB,NDLS,1.53,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,3,2026-08-26,2026-08-29,7,282,True,6,95,PENDING
TDMS-00121,TRD,COR-SBC-JTJ,SBC,-0.32,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,1,2026-08-28,2026-08-31,5,252,True,6,65,PENDING
TDMS-00122,TRD,COR-BRC-ST,BH,68.69,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-18,2026-08-21,15,323,True,8,78,PENDING
TDMS-00123,TRD,COR-NDLS-CNB,ETW,308.78,PANTO_ENTANGLE,Pantograph entanglement damage,5,4,2026-08-24,2026-08-27,9,357,True,8,95,PENDING
TDMS-00124,TRD,COR-HWH-ASN,BWN,105.8,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,4,2026-08-20,2026-08-23,13,236,True,6,92,PENDING
TDMS-00125,TRD,COR-BRC-ST,ANND,36.71,TENSIONING,Auto-tensioning device attention,3,2,2026-08-10,2026-08-25,11,159,True,4,78,PENDING
TDMS-00126,TRD,COR-HWH-ASN,DGR,157.09,PANTO_ENTANGLE,Pantograph entanglement damage,5,5,2026-09-04,2026-09-07,0,341,True,8,92,PENDING
TDMS-00127,TRD,COR-NDLS-CNB,NDLS,0.54,TENSIONING,Auto-tensioning device attention,4,3,2026-08-10,2026-08-25,11,136,True,4,95,PENDING
TDMS-00128,TRD,COR-HWH-ASN,DGR,158.26,TSS_TRANSFORMER,Traction sub-station transformer,4,5,2026-08-26,2026-09-02,3,302,True,6,92,PENDING
TDMS-00129,TRD,COR-HWH-ASN,DGR,156.56,INSULATOR_FLASH,Insulator flashover / replacement,4,5,2026-09-05,2026-09-12,0,116,True,4,92,PENDING
TDMS-00130,TRD,COR-NDLS-CNB,NDLS,0.02,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-30,2026-09-02,3,347,True,8,95,IN_PROGRESS
TDMS-00131,TRD,COR-CNB-DDU,FTP,518.36,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-10,2026-08-17,19,406,True,6,88,PENDING
TDMS-00132,TRD,COR-BRC-ST,ST,128.83,SP_MAINT,Sectioning post / SP maintenance,3,2,2026-09-04,2026-09-19,0,213,True,4,78,PENDING
TDMS-00133,TRD,COR-SBC-JTJ,BNC,4.87,EARTHING,OHE earthing / bonding check,2,2,2026-08-09,2026-09-08,0,72,False,3,65,PENDING
TDMS-00134,TRD,COR-BSL-NGP,BD,208.94,TENSIONING,Auto-tensioning device attention,3,2,2026-08-17,2026-09-01,4,151,True,4,84,PENDING
TDMS-00135,TRD,COR-BSL-NGP,WR,291.55,INSULATOR_FLASH,Insulator flashover / replacement,4,2,2026-09-04,2026-09-11,0,101,True,4,84,PENDING
TDMS-00136,TRD,COR-HWH-ASN,HWH,-1.78,TENSIONING,Auto-tensioning device attention,3,4,2026-08-29,2026-09-13,0,173,True,4,92,IN_PROGRESS
TDMS-00137,TRD,COR-BSL-NGP,BD,210.61,SP_MAINT,Sectioning post / SP maintenance,3,2,2026-08-27,2026-09-11,0,206,True,4,84,PENDING
TDMS-00138,TRD,COR-BSL-NGP,NGP,360.93,INSULATOR_FLASH,Insulator flashover / replacement,4,2,2026-08-06,2026-08-13,23,126,True,4,84,PENDING
TDMS-00139,TRD,COR-NDLS-CNB,ETW,308.86,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,4,2026-08-03,2026-08-06,30,255,True,6,95,PENDING
TDMS-00140,TRD,COR-CNB-DDU,MZP,718.81,SP_MAINT,Sectioning post / SP maintenance,2,4,2026-07-26,2026-08-10,26,184,True,4,88,PENDING
TDMS-00141,TRD,COR-BSL-NGP,AK,129.39,NEUTRAL_SECTION,Neutral section attention,3,4,2026-09-02,2026-09-17,0,143,True,4,84,PENDING
TDMS-00142,TRD,COR-SBC-JTJ,SBC,1.49,NEUTRAL_SECTION,Neutral section attention,3,1,2026-08-07,2026-08-22,14,110,True,4,65,PENDING
TDMS-00143,TRD,COR-HWH-ASN,ASN,201.87,PANTO_ENTANGLE,Pantograph entanglement damage,5,5,2026-09-05,2026-09-08,0,227,True,8,92,COMPLETED
TDMS-00144,TRD,COR-HWH-ASN,BWN,105.22,INSULATOR_FLASH,Insulator flashover / replacement,3,4,2026-08-10,2026-08-17,19,114,True,4,92,COMPLETED
TDMS-00145,TRD,COR-BRC-ST,BH,71.26,PANTO_ENTANGLE,Pantograph entanglement damage,5,4,2026-08-23,2026-08-26,10,260,True,8,78,COMPLETED
TDMS-00146,TRD,COR-SBC-JTJ,BNC,2.23,INSULATOR_FLASH,Insulator flashover / replacement,3,2,2026-09-03,2026-09-10,0,112,True,4,65,PENDING
TDMS-00147,TRD,COR-SBC-JTJ,JTJ,147.5,SP_MAINT,Sectioning post / SP maintenance,3,1,2026-07-22,2026-08-06,30,214,True,4,65,PENDING
TDMS-00148,TRD,COR-BSL-NGP,AK,130.23,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-08-20,2026-08-27,9,118,True,4,84,PENDING
TDMS-00149,TRD,COR-BSL-NGP,BD,211.58,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,2,2026-08-26,2026-08-29,7,180,True,6,84,IN_PROGRESS
TDMS-00150,TRD,COR-SBC-JTJ,BNC,3.96,EARTHING,OHE earthing / bonding check,1,3,2026-09-05,2026-10-05,0,73,False,3,65,PENDING
TDMS-00151,TRD,COR-SBC-JTJ,KPN,108.76,NEUTRAL_SECTION,Neutral section attention,3,1,2026-09-05,2026-09-20,0,114,True,4,65,PENDING
TDMS-00152,TRD,COR-SBC-JTJ,JTJ,146.32,EARTHING,OHE earthing / bonding check,2,3,2026-08-28,2026-09-27,0,95,False,3,65,PENDING
TDMS-00153,TRD,COR-BSL-NGP,BD,208.35,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-09-03,2026-09-10,0,94,True,4,84,PENDING
TDMS-00154,TRD,COR-SBC-JTJ,BNC,5.14,EARTHING,OHE earthing / bonding check,2,3,2026-09-01,2026-10-01,0,78,False,3,65,COMPLETED
TDMS-00155,TRD,COR-NDLS-CNB,NDLS,1.27,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,4,2026-08-31,2026-09-03,2,251,True,6,95,PENDING
TDMS-00156,TRD,COR-NDLS-CNB,ETW,308.52,NEUTRAL_SECTION,Neutral section attention,3,5,2026-08-15,2026-08-30,6,115,True,4,95,PENDING
TDMS-00157,TRD,COR-BRC-ST,BH,70.07,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-01,2026-08-08,28,354,True,6,78,PENDING
